,team_number,ELO,Qualification_matches_played
1243,9357,1500,0
1244,9362,1500,0
1245,9367,1500,0
1246,9371,1500,0
1247,9372,1500,0
1248,9376,1500,0
1249,9377,1500,0
1250,9378,1500,0
1251,9381,1500,0
1252,9384,1500,0
1253,9385,1500,0
1254,9386,1500,0
1255,9387,1500,0
1256,9402,1500,0
1257,9403,1500,0
1258,9410,1500,0
1259,9411,1500,0
1260,9412,1500,0
1261,9415,1500,0
1262,9421,1500,0
1263,9432,1500,0
1264,9433,1500,0
1265,9445,1500,0
1266,9448,1500,0
1267,9450,1500,0
1268,9458,1500,0
1269,9459,1500,0
1270,9470,1500,0
1271,9473,1500,0
1272,9476,1500,0
1273,9480,1500,0
1274,9487,1500,0
1275,9499,1500,0
1276,9501,1500,0
1277,9503,1500,0
1278,9505,1500,0
1279,9507,1500,0
1280,9511,1500,0
1281,9513,1500,0
1282,9517,1500,0
1283,9527,1500,0
1284,9530,1500,0
1285,9533,1500,0
1286,9536,1500,0
1287,9547,1500,0
1288,9566,1500,0
1289,9567,1500,0
1290,9568,1500,0
1291,9570,1500,0
1292,9577,1500,0
1293,9578,1500,0
1294,9579,1500,0
1295,9581,1500,0
1296,9600,1500,0
1297,9614,1500,0
1298,9617,1500,0
1299,9618,1500,0
1300,9622,1500,0
1301,9626,1500,0
1302,9637,1500,0
1303,9650,1500,0
1304,9656,1500,0
1305,9657,1500,0
1306,9661,1500,0
1307,9662,1500,0
1308,9667,1500,0
1309,9681,1500,0
1310,9686,1500,0
1311,9695,1500,0
1312,9707,1500,0
1313,9721,1500,0
1314,9725,1500,0
1315,9728,1500,0
1316,9734,1500,0
1317,9735,1500,0
1318,9743,1500,0
1319,9746,1500,0
1320,9747,1500,0
1321,9755,1500,0
1322,9764,1500,0
1323,9765,1500,0
1324,9768,1500,0
1325,9770,1500,0
1326,9772,1500,0
1327,9775,1500,0
1328,9778,1500,0
1329,9784,1500,0
1330,9785,1500,0
1331,9788,1500,0
1332,9791,1500,0
1333,9792,1500,0
1334,9794,1500,0
1335,9800,1500,0
1336,9801,1500,0
1337,9803,1500,0
1338,9808,1500,0
1339,9819,1500,0
1340,9820,1500,0
1341,9821,1500,0
1342,9828,1500,0
1343,9830,1500,0
1344,9838,1500,0
1345,9839,1500,0
1346,9840,1500,0
1347,9848,1500,0
1348,9849,1500,0
1349,9853,1500,0
1350,9854,1500,0
1351,9855,1500,0
1352,9856,1500,0
1353,9864,1500,0
1354,9876,1500,0
1355,9879,1500,0
1356,9880,1500,0
1357,9881,1500,0
1358,9884,1500,0
1359,9887,1500,0
1360,9889,1500,0
